code,date,decision,ALDnBS
510880.SS,2010-07-27C,Long,
510880.SS,2010-07-28A,Long,
510880.SS,2010-07-28C,Long,
510880.SS,2010-07-29A,Long,
510880.SS,2010-07-29C,Long,
510880.SS,2010-07-30A,Long,
510880.SS,2010-07-30C,Long,
510880.SS,2010-08-02A,Long,
510880.SS,2010-08-02C,Long,
510880.SS,2010-08-03A,Long,
510880.SS,2010-08-03C,Long,
510880.SS,2010-08-04A,Long,
510880.SS,2010-08-04C,Long,
510880.SS,2010-08-05A,Long,
510880.SS,2010-08-05C,Empty,
510880.SS,2010-08-06A,Empty,
510880.SS,2010-08-06C,Long,
510880.SS,2010-08-09A,Long,
510880.SS,2010-08-09C,Long,
510880.SS,2010-08-10A,Long,
510880.SS,2010-08-10C,Empty,
510880.SS,2010-08-11A,Empty,
510880.SS,2010-08-11C,Empty,
510880.SS,2010-08-12A,Empty,
510880.SS,2010-08-12C,Empty,
510880.SS,2010-08-13A,Empty,
510880.SS,2010-08-13C,Empty,
510880.SS,2010-08-16A,Empty,
510880.SS,2010-08-16C,Long,
510880.SS,2010-08-17A,Long,
510880.SS,2010-08-17C,Long,
510880.SS,2010-08-18A,Long,
510880.SS,2010-08-18C,Long,
510880.SS,2010-08-19A,Long,
510880.SS,2010-08-19C,Long,
510880.SS,2010-08-20A,Long,
510880.SS,2010-08-20C,Empty,
510880.SS,2010-08-23A,Empty,
510880.SS,2010-08-23C,Empty,
510880.SS,2010-08-24A,Empty,
510880.SS,2010-08-24C,Empty,
510880.SS,2010-08-25A,Empty,
510880.SS,2010-08-25C,Empty,
510880.SS,2010-08-26A,Empty,
510880.SS,2010-08-26C,Empty,
510880.SS,2010-08-27A,Empty,
510880.SS,2010-08-27C,Empty,
510880.SS,2010-08-30A,Empty,
510880.SS,2010-08-30C,Long,
510880.SS,2010-08-31A,Empty,
510880.SS,2010-08-31C,Empty,
510880.SS,2010-09-01A,Empty,
510880.SS,2010-09-01C,Empty,
510880.SS,2010-09-02A,Long,
510880.SS,2010-09-02C,Long,
510880.SS,2010-09-03A,Long,
510880.SS,2010-09-03C,Empty,
510880.SS,2010-09-06A,Long,
510880.SS,2010-09-06C,Long,
510880.SS,2010-09-07A,Long,
510880.SS,2010-09-07C,Long,
510880.SS,2010-09-08A,Long,
510880.SS,2010-09-08C,Long,
510880.SS,2010-09-09A,Long,
510880.SS,2010-09-09C,Empty,
510880.SS,2010-09-10A,Empty,
510880.SS,2010-09-10C,Empty,
510880.SS,2010-09-13A,Empty,
510880.SS,2010-09-13C,Long,
510880.SS,2010-09-14A,Long,
510880.SS,2010-09-14C,Empty,
510880.SS,2010-09-15A,Empty,
510880.SS,2010-09-15C,Empty,
510880.SS,2010-09-16A,Empty,
510880.SS,2010-09-16C,Empty,
510880.SS,2010-09-17A,Empty,
510880.SS,2010-09-17C,Empty,
510880.SS,2010-09-20A,Empty,
510880.SS,2010-09-20C,Empty,
510880.SS,2010-09-21A,Empty,
510880.SS,2010-09-21C,Empty,
510880.SS,2010-09-27A,Empty,
510880.SS,2010-09-27C,Empty,
510880.SS,2010-09-28A,Empty,
510880.SS,2010-09-28C,Empty,
510880.SS,2010-09-29A,Empty,
510880.SS,2010-09-29C,Empty,
510880.SS,2010-09-30A,Empty,
510880.SS,2010-09-30C,Long,
510880.SS,2010-10-08A,Long,
510880.SS,2010-10-08C,Long,
510880.SS,2010-10-11A,Long,
510880.SS,2010-10-11C,Long,
510880.SS,2010-10-12A,Long,
510880.SS,2010-10-12C,Long,
510880.SS,2010-10-13A,Long,
510880.SS,2010-10-13C,Long,
510880.SS,2010-10-14A,Long,
510880.SS,2010-10-14C,Long,
510880.SS,2010-10-15A,Long,
510880.SS,2010-10-15C,Long,
510880.SS,2010-10-18A,Long,
510880.SS,2010-10-18C,Long,
510880.SS,2010-10-19A,Long,
510880.SS,2010-10-19C,Long,
510880.SS,2010-10-20A,Long,
510880.SS,2010-10-20C,Long,
510880.SS,2010-10-21A,Long,
510880.SS,2010-10-21C,Long,
510880.SS,2010-10-22A,Long,
510880.SS,2010-10-22C,Long,
510880.SS,2010-10-25A,Long,
510880.SS,2010-10-25C,Long,
510880.SS,2010-10-26A,Long,
510880.SS,2010-10-26C,Long,
510880.SS,2010-10-27A,Long,
510880.SS,2010-10-27C,Long,
510880.SS,2010-10-28A,Empty,
510880.SS,2010-10-28C,Long,
510880.SS,2010-10-29A,Empty,
510880.SS,2010-10-29C,Empty,
510880.SS,2010-11-01A,Empty,
510880.SS,2010-11-01C,Long,
510880.SS,2010-11-02A,Long,
510880.SS,2010-11-02C,Long,
510880.SS,2010-11-03A,Long,
510880.SS,2010-11-03C,Empty,
510880.SS,2010-11-04A,Empty,
510880.SS,2010-11-04C,Long,
510880.SS,2010-11-05A,Long,
510880.SS,2010-11-05C,Long,
510880.SS,2010-11-08A,Long,
510880.SS,2010-11-08C,Long,
510880.SS,2010-11-09A,Long,
510880.SS,2010-11-09C,Long,
510880.SS,2010-11-10A,Long,
510880.SS,2010-11-10C,Empty,
510880.SS,2010-11-11A,Empty,
510880.SS,2010-11-11C,Empty,
510880.SS,2010-11-12A,Empty,
510880.SS,2010-11-12C,Empty,
510880.SS,2010-11-15A,Empty,
510880.SS,2010-11-15C,Empty,
510880.SS,2010-11-16A,Empty,
510880.SS,2010-11-16C,Empty,
